Product,Type,Nutrient Content,Residual Content,Shelf Life (days),Batch of Harvesting,Overall Quality
Apple,Fruit,9,0.5,30,10,High
Banana,Fruit,8,0.3,20,4,High
Carrot,Vegetable,7,0.2,25,2,High
Spinach,Vegetable,6,0.8,10,6,Medium
Tomato,Vegetable,7,0.6,15,7,Medium
Grapes,Fruit,5,1.5,14,5,Medium
Broccoli,Vegetable,8,0.7,12,10,High
Potato,Vegetable,4,1.2,35,3,Low
Strawberry,Fruit,9,0.6,7,9,High
Pineapple,Fruit,6,1.8,20,3,Medium
Lettuce,Vegetable,5,1.0,7,10,Low
Mango,Fruit,7,0.4,12,7,High
Cucumber,Vegetable,6,0.3,18,5,Medium
Peach,Fruit,8,0.5,10,10,High
Zucchini,Vegetable,7,0.9,14,2,Medium
Avocado,Fruit,5,1.2,6,7,Low
Orange,Fruit,9,0.4,28,9,High
Pepper,Vegetable,8,0.6,16,6,High
Eggplant,Vegetable,6,0.8,10,4,Medium
Cherry,Fruit,7,1.0,7,10,Medium
Watermelon,Fruit,8,0.3,25,6,High
Cabbage,Vegetable,5,1.1,30,7,Low
Blueberry,Fruit,9,0.4,8,5,High
Apple,Fruit,9,0.5,30,1,High
Banana,Fruit,8,0.3,20,5,High
Carrot,Vegetable,7,0.2,25,2,High
Spinach,Vegetable,6,0.8,10,6,Medium
Tomato,Vegetable,7,0.6,15,4,Medium
Grapes,Fruit,5,1.5,14,10,Medium
Broccoli,Vegetable,8,0.7,12,2,High
Potato,Vegetable,4,1.2,35,2,Low
Strawberry,Fruit,9,0.6,7,10,High
Pineapple,Fruit,6,1.8,20,3,Medium
Lettuce,Vegetable,5,1.0,7,2,Low
Mango,Fruit,7,0.4,12,9,High
Cucumber,Vegetable,6,0.3,18,2,Medium
Peach,Fruit,8,0.5,10,5,High
Zucchini,Vegetable,7,0.9,14,1,Medium
Avocado,Fruit,5,1.2,6,8,Low
Orange,Fruit,9,0.4,28,1,High
Pepper,Vegetable,8,0.6,16,2,High
Eggplant,Vegetable,6,0.8,10,6,Medium
Cherry,Fruit,7,1.0,7,10,Medium
Watermelon,Fruit,8,0.3,25,2,High
Cabbage,Vegetable,5,1.1,30,10,Low
Blueberry,Fruit,9,0.4,8,7,High
Apple,Fruit,9,0.5,30,9,High
Banana,Fruit,8,0.3,20,1,High
Carrot,Vegetable,7,0.2,25,3,High
Spinach,Vegetable,6,0.8,10,2,Medium
Tomato,Vegetable,7,0.6,15,8,Medium
Grapes,Fruit,5,1.5,14,4,Medium
Broccoli,Vegetable,8,0.7,12,3,High
Potato,Vegetable,4,1.2,35,5,Low
Strawberry,Fruit,9,0.6,7,1,High
Pineapple,Fruit,6,1.8,20,10,Medium
